Attaching 3 probes...
Tracing kill() signals... Hit Ctrl-C to end.
TIME      PID    COMM             SIG  TPID   RESULT
22:11:19  1      systemd          15   3223   0
22:11:19  1      systemd          18   3223   0
22:12:04  1      systemd          15   2547   0
22:12:04  1      systemd          18   2547   0
22:13:25  565    systemd-journal  0    654    0
22:13:25  565    systemd-journal  0    714    0
22:13:25  565    systemd-journal  0    694    0
22:13:25  565    systemd-journal  0    652    -1
22:13:25  565    systemd-journal  0    729    -1
22:13:25  565    systemd-journal  0    744    -1
22:13:25  565    systemd-journal  0    836    0
22:13:25  565    systemd-journal  0    732    -1
22:13:25  565    systemd-journal  0    983    0
22:13:25  565    systemd-journal  0    681    -1
22:13:25  565    systemd-journal  0    1084   0
22:13:25  565    systemd-journal  0    709    0
22:13:25  565    systemd-journal  0    782    0
22:13:25  565    systemd-journal  0    807    0
22:13:25  565    systemd-journal  0    1417   0
22:13:25  565    systemd-journal  0    1779   -1
22:13:25  565    systemd-journal  0    1752   -1
22:13:25  565    systemd-journal  0    1826   0
22:13:25  565    systemd-journal  0    1821   -1
22:13:25  565    systemd-journal  0    1853   -1
22:13:25  565    systemd-journal  0    704    0
22:13:25  565    systemd-journal  0    693    -1
22:13:25  565    systemd-journal  0    2128   -1
22:13:25  565    systemd-journal  0    837    0
22:13:25  565    systemd-journal  0    1092   0
22:13:25  565    systemd-journal  0    1927   -1
22:13:25  565    systemd-journal  0    845    0
22:13:25  565    systemd-journal  0    1334   -1
22:13:25  565    systemd-journal  0    2021   -1
22:13:25  565    systemd-journal  0    691    -1
22:13:25  565    systemd-journal  0    1435   -1
22:13:25  565    systemd-journal  0    1889   -1
22:13:25  565    systemd-journal  0    2547   -3
22:13:25  565    systemd-journal  0    3221   0
22:14:06  3411   bash             11   3411   0
22:14:06  3411   bash             11   3411   0
22:14:06  565    systemd-journal  0    654    0
22:14:06  565    systemd-journal  0    714    0
22:14:06  565    systemd-journal  0    694    0
22:14:06  565    systemd-journal  0    652    -1
22:14:06  565    systemd-journal  0    729    -1
22:14:06  565    systemd-journal  0    744    -1
22:14:06  565    systemd-journal  0    836    0
22:14:06  565    systemd-journal  0    732    -1
22:14:06  565    systemd-journal  0    983    0
22:14:06  565    systemd-journal  0    681    -1
22:14:06  565    systemd-journal  0    1084   0
22:14:06  565    systemd-journal  0    709    0
22:14:06  565    systemd-journal  0    782    0
22:14:06  565    systemd-journal  0    807    0
22:14:06  565    systemd-journal  0    1417   0
22:14:06  565    systemd-journal  0    1779   -1
22:14:06  565    systemd-journal  0    1752   -1
22:14:06  565    systemd-journal  0    1826   0
22:14:06  565    systemd-journal  0    1821   -1
22:14:06  565    systemd-journal  0    1853   -1
22:14:06  565    systemd-journal  0    704    0
22:14:06  565    systemd-journal  0    693    -1
22:14:06  565    systemd-journal  0    2128   -1
22:14:06  565    systemd-journal  0    837    0
22:14:06  565    systemd-journal  0    1092   0
22:14:06  565    systemd-journal  0    1927   -1
22:14:06  565    systemd-journal  0    845    0
22:14:06  565    systemd-journal  0    1334   -1
22:14:06  565    systemd-journal  0    2021   -1
22:14:06  565    systemd-journal  0    691    -1
22:14:06  565    systemd-journal  0    1435   -1
22:14:06  565    systemd-journal  0    1889   -1
22:14:06  565    systemd-journal  0    3221   0
22:14:06  565    systemd-journal  0    3397   -3
