Attaching 3 probes...
Tracing VFS calls... Hit Ctrl-C to end.
Path: /usr/lib64/libtinfo.so.6.2, Program: vi, Mode: Read
Path: /usr/lib64/libc.so.6, Program: vi, Mode: Read
Path: /usr/lib64/libc.so.6, Program: vi, Mode: Read
Path: /usr/lib64/libc.so.6, Program: vi, Mode: Read
Path: /usr/lib64/libc.so.6, Program: vi, Mode: Read
Path: /usr/lib64/libc.so.6, Program: vi, Mode: Read
Path: /usr/bin/vi, Program: vi, Mode: Read
Path: /usr/bin/vi, Program: vi, Mode: Read
Path: /usr/lib64/libselinux.so.1, Program: vi, Mode: Read
Path: /usr/lib64/libselinux.so.1, Program: vi, Mode: Read
Path: /usr/lib64/libtinfo.so.6.2, Program: vi, Mode: Read
Path: /usr/lib64/libacl.so.1.1.2301, Program: vi, Mode: Read
Path: /usr/lib64/libc.so.6, Program: vi, Mode: Read
Path: /usr/lib64/libc.so.6, Program: vi, Mode: Read
Path: /usr/lib64/libc.so.6, Program: vi, Mode: Read
Path: /usr/lib64/libc.so.6, Program: vi, Mode: Read
Path: /usr/lib64/libc.so.6, Program: vi, Mode: Read
Path: /usr/lib64/libpcre2-8.so.0.10.2, Program: vi, Mode: Read
Path: /usr/lib64/libattr.so.1.1.2501, Program: vi, Mode: Read
Path: /usr/share/terminfo/x/xterm-256color, Program: vi, Mode: Read
Path: /usr/share/terminfo/x/xterm-256color, Program: vi, Mode: Read
Path: /etc/virc, Program: vi, Mode: Read
Path: /etc/virc, Program: vi, Mode: Read
Path: /usr/share/vim/vim82/defaults.vim, Program: vi, Mode: Read
Path: /usr/share/vim/vim82/defaults.vim, Program: vi, Mode: Read
Path: /1, Program: vi, Mode: Write
Path: /etc/authselect/nsswitch.conf, Program: vi, Mode: Read
Path: /etc/authselect/nsswitch.conf, Program: vi, Mode: Read
Path: /etc/passwd, Program: vi, Mode: Read
Path: /home/jakejazokas/Desktop/.test.txt.swp, Program: vi, Mode: Write
Path: /1, Program: vi, Mode: Write
Path: /1, Program: vi, Mode: Write
Path: /1, Program: vi, Mode: Write
Path: /1, Program: vi, Mode: Write
Path: /1, Program: vi, Mode: Write
Path: /1, Program: vi, Mode: Write
Path: /1, Program: vi, Mode: Write
Path: /1, Program: vi, Mode: Read
Path: /1, Program: vi, Mode: Write
Path: /1, Program: vi, Mode: Write
Path: /1, Program: vi, Mode: Write
Path: /1, Program: vi, Mode: Write
Path: /1, Program: vi, Mode: Read
Path: /1, Program: vi, Mode: Read
Path: /1, Program: vi, Mode: Read
Path: /1, Program: vi, Mode: Write
Path: /1, Program: vi, Mode: Read
Path: /1, Program: vi, Mode: Write
Path: /1, Program: vi, Mode: Read
Path: /home/jakejazokas/Desktop/.test.txt.swp, Program: vi, Mode: Write
Path: /1, Program: vi, Mode: Write
Path: /1, Program: vi, Mode: Read
Path: /1, Program: vi, Mode: Write
Path: /1, Program: vi, Mode: Read
Path: /1, Program: vi, Mode: Write
Path: /1, Program: vi, Mode: Read
Path: /1, Program: vi, Mode: Write
Path: /1, Program: vi, Mode: Read
Path: /1, Program: vi, Mode: Write
Path: /1, Program: vi, Mode: Read
Path: /1, Program: vi, Mode: Write
Path: /1, Program: vi, Mode: Read
Path: /1, Program: vi, Mode: Write
Path: /1, Program: vi, Mode: Read
Path: /1, Program: vi, Mode: Write
Path: /1, Program: vi, Mode: Read
Path: /1, Program: vi, Mode: Write
Path: /1, Program: vi, Mode: Read
Path: /1, Program: vi, Mode: Write
Path: /1, Program: vi, Mode: Write
Path: /1, Program: vi, Mode: Write
Path: /1, Program: vi, Mode: Read
Path: /1, Program: vi, Mode: Write
Path: /1, Program: vi, Mode: Read
Path: /1, Program: vi, Mode: Write
Path: /1, Program: vi, Mode: Read
Path: /1, Program: vi, Mode: Write
Path: /1, Program: vi, Mode: Read
Path: /1, Program: vi, Mode: Write
Path: /1, Program: vi, Mode: Write
Path: /1, Program: vi, Mode: Write
Path: /home/jakejazokas/Desktop/test.txt, Program: vi, Mode: Write
Path: /1, Program: vi, Mode: Write
Path: /home/jakejazokas/Desktop/.test.txt.swp, Program: vi, Mode: Write
Path: /1, Program: vi, Mode: Write
Path: /1, Program: vi, Mode: Write
